7/28/2022 12:14:39 AM,G:\downloads\02 - Business Intelligence Solution - Part B(1).pdf,G:\moved-downloads\PDF file\2022\February\02 - Business Intelligence Solution - Part B(1).pdf,
7/28/2022 12:14:39 AM,G:\downloads\02 - Business Intelligence Solution - Part B(2).pdf,G:\moved-downloads\PDF file\2022\March\02 - Business Intelligence Solution - Part B(2).pdf,
7/28/2022 12:14:39 AM,G:\downloads\02 - Business Intelligence Solution - Part B(3).pdf,G:\moved-downloads\PDF file\2022\March\02 - Business Intelligence Solution - Part B(3).pdf,
7/28/2022 12:14:39 AM,G:\downloads\02 - Business Intelligence Solution - Part B.pdf,G:\moved-downloads\PDF file\2022\January\02 - Business Intelligence Solution - Part B.pdf,
7/28/2022 12:14:39 AM,G:\downloads\05-student-notes.pdf,G:\moved-downloads\PDF file\2020\December\05-student-notes.pdf,
7/28/2022 12:14:39 AM,G:\downloads\1. A Framework for Thinking Ethically by Velasquez et al (1211).pdf,G:\moved-downloads\PDF file\2021\October\1. A Framework for Thinking Ethically by Velasquez et al (1211).pdf,
7/28/2022 12:14:39 AM,G:\downloads\1. Unit 2 - The Servant as Leader by Greenleaf (1211).pdf,G:\moved-downloads\PDF file\2021\September\1. Unit 2 - The Servant as Leader by Greenleaf (1211).pdf,
7/28/2022 12:14:39 AM,G:\downloads\1PasswordSetup-7.9.828.exe,G:\moved-downloads\Installer file\2021\November\1PasswordSetup-7.9.828.exe,
7/28/2022 12:14:39 AM,G:\downloads\2-23-2022 Updated Data Model,G:\moved-downloads\Others\2022\February\2-23-2022 Updated Data Model,
7/28/2022 12:14:39 AM,G:\downloads\2-23-2022 Updated Data Model.jpeg,G:\moved-downloads\Image file\2022\February\2-23-2022 Updated Data Model.jpeg,
7/28/2022 12:14:39 AM,G:\downloads\2. LEAD 3000 Assignment Specifications (1211) - June 2021(1).pdf,G:\moved-downloads\PDF file\2021\October\2. LEAD 3000 Assignment Specifications (1211) - June 2021(1).pdf,
7/28/2022 12:14:39 AM,G:\downloads\2. LEAD 3000 Assignment Specifications (1211) - June 2021.pdf,G:\moved-downloads\PDF file\2021\October\2. LEAD 3000 Assignment Specifications (1211) - June 2021.pdf,
